%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,mocap.linear.x,mocap.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1.61300075788995E+018,813,1.61300075786764E+018,odom,base_link,-1.09562766552,3.29240942001,0,0,0,0.811094916277,0.584914555119,-0.0131136444774,-0.0296854464077,0,0,0,-1.15482146857
1.61300075788996E+018,814,1.6130007578775E+018,odom,base_link,-1.09551393986,3.2920897007,0,0,0,0.81109432991,0.584915368226,-0.0146460605097,-0.0324461645993,0,0,0,-1.1467823078
1.61300075788997E+018,815,1.61300075788759E+018,odom,base_link,-1.09533262253,3.29165196419,0,0,0,0.811091478149,0.584919322705,-0.0227883904565,-0.0433530098741,0,0,0,-1.0868420614
1.61300075793804E+018,816,1.61300075789747E+018,odom,base_link,-1.0953091383,3.29113936424,0,0,0,0.811103245519,0.584903004873,-0.00301884485853,-0.0519248401602,0,0,0,-1.51272295796
1.61300075793806E+018,817,1.61300075790801E+018,odom,base_link,-1.09524667263,3.29074311256,0,0,0,0.811108798809,0.584895303875,-0.00751798288716,-0.0375805563404,0,0,0,-1.37335288004
1.61300075793806E+018,818,1.613000757919E+018,odom,base_link,-1.09513986111,3.29030919075,0,0,0,0.811111808187,0.584891130571,-0.0123323239547,-0.0394793908165,0,0,0,-1.26802651271
1.61300075793807E+018,819,1.61300075792788E+018,odom,base_link,-1.09509623051,3.28991103172,0,0,0,0.811118921749,0.584881265541,-0.00623872604476,-0.0448635298589,0,0,0,-1.43262235589
1.61300075793808E+018,820,1.61300075793764E+018,odom,base_link,-1.09495997429,3.28951883316,0,0,0,0.811118464996,0.58488189897,-0.0177165308409,-0.0401846783336,0,0,0,-1.15555430417
1.61300075798603E+018,821,1.61300075794782E+018,odom,base_link,-1.09484171867,3.28900623322,0,0,0,0.811122656958,0.584876085482,-0.0147384047254,-0.0503430363737,0,0,0,-1.28599531151
1.61300075798604E+018,822,1.61300075795778E+018,odom,base_link,-1.09494924545,3.28863525391,0,0,0,0.81114114991,0.584850438081,0.0136959699213,-0.0372355684635,0,0,0,-1.92325699286
1.61300075798605E+018,823,1.61300075796791E+018,odom,base_link,-1.09496188164,3.288230896,0,0,0,0.811152939218,0.584834086898,0.00158328547538,-0.0399246713801,0,0,0,-1.61043237667
1.61300075798606E+018,824,1.61300075797805E+018,odom,base_link,-1.09495401382,3.28782749176,0,0,0,0.811163063853,0.58482004398,-0.000984961308942,-0.0397958452982,0,0,0,-1.54605102354
1.61300075798779E+018,825,1.61300075798762E+018,odom,base_link,-1.0948972702,3.28742718697,0,0,0,0.81116919462,0.584811540327,-0.00751964004554,-0.0418025654241,0,0,0,-1.39281511624
1.61300075799833E+018,826,1.61300075799806E+018,odom,base_link,-1.09494626522,3.2870452404,0,0,0,0.811183303678,0.584791969707,0.00595613111823,-0.0365887084401,0,0,0,-1.73216690411
1.61300075804198E+018,827,1.61300075800775E+018,odom,base_link,-1.09506344795,3.28660440445,0,0,0,0.811204446148,0.584762641206,0.0153558137473,-0.045521689167,0,0,0,-1.89613920979
1.613000758042E+018,828,1.61300075801841E+018,odom,base_link,-1.09538173676,3.28618717194,0,0,0,0.811241065239,0.58471183849,0.0378697077609,-0.0391183817716,0,0,0,-2.33997685777
1.61300075804203E+018,829,1.61300075802799E+018,odom,base_link,-1.0955080986,3.28586602211,0,0,0,0.81125975514,0.584685906868,0.0167350013115,-0.033515802378,0,0,0,-2.03389718151
1.61300075804204E+018,830,1.61300075803789E+018,odom,base_link,-1.09525561333,3.28567671776,0,0,0,0.811244590849,0.584706946956,-0.032374316217,-0.0191274594899,0,0,0,-0.533643666128
1.61300075808992E+018,831,1.6130007580479E+018,odom,base_link,-1.09529387951,3.28543186188,0,0,0,0.811254191893,0.584693625872,0.00485316007549,-0.0244710253665,0,0,0,-1.76657858915
1.61300075808993E+018,832,1.61300075805799E+018,odom,base_link,-1.09532618523,3.28519201279,0,0,0,0.811263182909,0.584681150761,0.00406102631561,-0.0237589166186,0,0,0,-1.74008673436
1.61300075808994E+018,833,1.61300075806772E+018,odom,base_link,-1.09533715248,3.28500318527,0,0,0,0.811269103423,0.584672935778,0.00143082585012,-0.0194127146934,0,0,0,-1.6443688946
1.61300075808995E+018,834,1.61300075807794E+018,odom,base_link,-1.09555482864,3.28476715088,0,0,0,0.811292839933,0.584639998523,0.0270344082743,-0.023100077101,0,0,0,-2.43450953513
1.61300075808996E+018,835,1.61300075808775E+018,odom,base_link,-1.09551000595,3.28458833694,0,0,0,0.811294026551,0.584638351875,-0.00579699768144,-0.018223789275,0,0,0,-1.26281733005
1.61300075813393E+018,836,1.613000758098E+018,odom,base_link,-1.09539735317,3.28456544876,0,0,0,0.811285615575,0.584650023485,-0.0139473637382,-0.0022330255462,0,0,0,-0.158756442453
1.61300075813394E+018,837,1.61300075810805E+018,odom,base_link,-1.09534263611,3.28447794914,0,0,0,0.811283570282,0.584652861611,-0.00690501387967,-0.00870121849713,0,0,0,-0.899989284475
1.61300075813394E+018,838,1.6130007581188E+018,odom,base_link,-1.09532439709,3.28430604935,0,0,0,0.811286701157,0.584648517081,-0.00215445838944,-0.0160008879649,0,0,0,-1.43695510535
1.61300075813395E+018,839,1.61300075812814E+018,odom,base_link,-1.09528183937,3.28425383568,0,0,0,0.811284687115,0.584651311854,-0.00577989181401,-0.00558801737817,0,0,0,-0.768521162108
1.61300075813967E+018,840,1.6130007581394E+018,odom,base_link,-1.09525799751,3.28421020508,0,0,0,0.811283942876,0.584652344588,-0.00268649207721,-0.00387408190277,0,0,0,-0.964478136062
1.61300075814817E+018,841,1.61300075814798E+018,odom,base_link,-1.09523797035,3.28420329094,0,0,0,0.81128252337,0.584654314338,-0.00296211194842,-0.000805846499923,0,0,0,-0.265622796063
1.61300075819E+018,842,1.61300075815751E+018,odom,base_link,-1.09525632858,3.28422188759,0,0,0,0.811283497119,0.584652963135,0.00244591752121,0.00195244059888,0,0,0,2.4679229578
1.61300075819E+018,843,1.6130007581679E+018,odom,base_link,-1.09527885914,3.28425335884,0,0,0,0.811284461137,0.58465162543,0.00275259311051,0.003029816214,0,0,0,2.30828868088
1.61300075819001E+018,844,1.6130007581778E+018,odom,base_link,-1.0953104496,3.28429961205,0,0,0,0.811285755951,0.584649828694,0.00404651691062,0.00466873641512,0,0,0,2.28492111222
1.61300075823406E+018,845,1.61300075819086E+018,odom,base_link,-1.09535837173,3.28435921669,0,0,0,0.811288002174,0.584646711723,0.00465724487936,0.0045646256805,0,0,0,2.36623758115
